,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
0,13,4,Maricopa,Arizona,335.0
1,19,4,Pima,Arizona,159.0
2,19,6,Fresno,California,104.0
3,9,9,New Haven,Connecticut,107.0
4,3,10,New Castle,Delaware,6.0
5,1,11,District of Columbia,District of Columbia,113.0
6,1,12,Alachua,Florida,130.0
7,1,16,Ada,Idaho,110.0
8,17,22,Caddo,Louisiana,66.0
9,121,28,Rankin,Mississippi,20.0
10,19,29,Boone,Missouri,0.0
11,1,35,Bernalillo,New Mexico,0.0
12,1,36,Albany,New York,0.0
13,5,36,Bronx,New York,0.0
14,17,38,Cass,North Dakota,0.0
15,19,41,Douglas,Oregon,0.0
16,3,42,Allegheny,Pennsylvania,0.0
17,1,1,Autauga,Alabama,0.0
18,3,1,Baldwin,Alabama,0.0
19,5,1,Barbour,Alabama,0.0
20,7,1,Bibb,Alabama,0.0
21,9,1,Blount,Alabama,0.0
22,11,1,Bullock,Alabama,0.0
23,13,1,Butler,Alabama,0.0
24,15,1,Calhoun,Alabama,0.0
25,17,1,Chambers,Alabama,0.0
26,19,1,Cherokee,Alabama,0.0
27,25,1,Clarke,Alabama,0.0
28,27,1,Clay,Alabama,0.0
29,31,1,Coffee,Alabama,0.0
30,33,1,Colbert,Alabama,0.0
31,35,1,Conecuh,Alabama,0.0
32,39,1,Covington,Alabama,0.0
33,41,1,Crenshaw,Alabama,0.0
34,43,1,Cullman,Alabama,0.0
35,45,1,Dale,Alabama,0.0
36,47,1,Dallas,Alabama,0.0
37,49,1,DeKalb,Alabama,0.0
38,51,1,Elmore,Alabama,0.0
39,53,1,Escambia,Alabama,0.0
40,55,1,Etowah,Alabama,0.0
41,57,1,Fayette,Alabama,0.0
42,59,1,Franklin,Alabama,0.0
43,61,1,Geneva,Alabama,0.0
44,63,1,Greene,Alabama,0.0
45,65,1,Hale,Alabama,0.0
46,69,1,Houston,Alabama,22.0
47,71,1,Jackson,Alabama,0.0
48,73,1,Jefferson,Alabama,192.0
49,77,1,Lauderdale,Alabama,0.0
50,79,1,Lawrence,Alabama,0.0
51,81,1,Lee,Alabama,0.0
52,83,1,Limestone,Alabama,0.0
53,89,1,Madison,Alabama,49.0
54,91,1,Marengo,Alabama,0.0
55,93,1,Marion,Alabama,0.0
56,95,1,Marshall,Alabama,0.0
57,97,1,Mobile,Alabama,118.0
58,99,1,Monroe,Alabama,0.0
59,101,1,Montgomery,Alabama,65.0
60,103,1,Morgan,Alabama,0.0
61,109,1,Pike,Alabama,0.0
62,113,1,Russell,Alabama,0.0
63,115,1,St. Clair,Alabama,0.0
64,117,1,Shelby,Alabama,0.0
65,119,1,Sumter,Alabama,0.0
66,121,1,Talladega,Alabama,0.0
67,123,1,Tallapoosa,Alabama,0.0
68,125,1,Tuscaloosa,Alabama,51.0
69,127,1,Walker,Alabama,0.0
70,129,1,Washington,Alabama,0.0
71,131,1,Wilcox,Alabama,0.0
72,133,1,Winston,Alabama,0.0
73,20,2,Anchorage,Alaska,76.0
74,50,2,Bethel,Alaska,0.0
75,11,23,Kennebec,Maine,0.0
76,90,2,Fairbanks North Star,Alaska,0.0
77,110,2,Juneau,Alaska,0.0
78,122,2,Kenai Peninsula,Alaska,0.0
79,130,2,Ketchikan Gateway,Alaska,0.0
80,510,24,Baltimore City,Maryland,167.0
81,150,2,Kodiak Island,Alaska,0.0
82,170,2,Matanuska-Susitna,Alaska,0.0
83,180,2,Nome,Alaska,0.0
84,220,2,Sitka,Alaska,0.0
85,275,2,Wrangell,Alaska,0.0
86,15,25,Hampshire,Massachusetts,0.0
87,17,25,Middlesex,Massachusetts,26.0
88,1,4,Apache,Arizona,0.0
89,3,4,Cochise,Arizona,0.0
90,5,4,Coconino,Arizona,18.0
91,9,4,Graham,Arizona,0.0
92,7,4,Gila,Arizona,0.0
93,12,4,La Paz,Arizona,0.0
94,15,4,Mohave,Arizona,0.0
95,17,4,Navajo,Arizona,0.0
96,21,4,Pinal,Arizona,0.0
97,23,4,Santa Cruz,Arizona,0.0
98,25,4,Yavapai,Arizona,0.0
99,27,4,Yuma,Arizona,20.0
100,1,5,Arkansas,Arkansas,0.0
101,3,5,Ashley,Arkansas,0.0
102,5,5,Baxter,Arkansas,0.0
103,7,5,Benton,Arkansas,8.0
104,9,5,Boone,Arkansas,0.0
105,11,5,Bradley,Arkansas,0.0
106,15,5,Carroll,Arkansas,0.0
107,17,5,Chicot,Arkansas,0.0
108,19,5,Clark,Arkansas,0.0
109,21,5,Clay,Arkansas,0.0
110,23,5,Cleburne,Arkansas,0.0
111,27,5,Columbia,Arkansas,0.0
112,7,44,Providence,Rhode Island,0.0
113,29,5,Conway,Arkansas,0.0
114,31,5,Craighead,Arkansas,12.0
115,33,5,Crawford,Arkansas,0.0
116,37,5,Cross,Arkansas,0.0
117,39,5,Dallas,Arkansas,0.0
118,41,5,Desha,Arkansas,0.0
119,43,5,Drew,Arkansas,0.0
120,45,5,Faulkner,Arkansas,0.0
121,47,5,Franklin,Arkansas,0.0
122,51,5,Garland,Arkansas,0.0
123,55,5,Greene,Arkansas,0.0
124,57,5,Hempstead,Arkansas,0.0
125,59,5,Hot Spring,Arkansas,0.0
126,19,45,Charleston,South Carolina,0.0
127,61,5,Howard,Arkansas,0.0
128,63,5,Independence,Arkansas,0.0
129,69,5,Jefferson,Arkansas,0.0
130,71,5,Johnson,Arkansas,0.0
131,75,5,Lawrence,Arkansas,0.0
132,83,5,Logan,Arkansas,0.0
133,93,5,Mississippi,Arkansas,0.0
134,103,5,Ouachita,Arkansas,0.0
135,107,5,Phillips,Arkansas,0.0
136,113,5,Polk,Arkansas,0.0
137,115,5,Pope,Arkansas,0.0
138,119,5,Pulaski,Arkansas,168.0
139,121,5,Randolph,Arkansas,0.0
140,123,5,St. Francis,Arkansas,0.0
141,125,5,Saline,Arkansas,0.0
142,127,5,Scott,Arkansas,0.0
143,131,5,Sebastian,Arkansas,25.0
144,137,5,Stone,Arkansas,0.0
145,139,5,Union,Arkansas,0.0
146,141,5,Van Buren,Arkansas,0.0
147,143,5,Washington,Arkansas,34.0
148,145,5,White,Arkansas,0.0
149,149,5,Yell,Arkansas,0.0
150,1,6,Alameda,California,79.0
151,5,6,Amador,California,0.0
152,7,6,Butte,California,6.0
153,9,6,Calaveras,California,0.0
154,13,6,Contra Costa,California,97.0
155,15,6,Del Norte,California,0.0
156,17,6,El Dorado,California,0.0
157,21,6,Glenn,California,0.0
158,23,6,Humboldt,California,5.0
159,3,54,Berkeley,West Virginia,0.0
160,25,6,Imperial,California,0.0
161,27,6,Inyo,California,0.0
162,29,6,Kern,California,77.0
163,31,6,Kings,California,0.0
164,33,6,Lake,California,0.0
165,35,6,Lassen,California,0.0
166,37,6,Los Angeles,California,1147.0
167,39,6,Madera,California,0.0
168,41,6,Marin,California,8.0
169,43,6,Mariposa,California,0.0
170,45,6,Mendocino,California,2.0
171,47,6,Merced,California,0.0
172,49,6,Modoc,California,0.0
173,53,6,Monterey,California,34.0
174,55,6,Napa,California,6.0
175,57,6,Nevada,California,0.0
176,59,6,Orange,California,182.0
177,61,6,Placer,California,16.0
178,63,6,Plumas,California,0.0
179,65,6,Riverside,California,101.0
180,67,6,Sacramento,California,192.0
181,69,6,San Benito,California,0.0
182,71,6,San Bernardino,California,122.0
183,73,6,San Diego,California,222.0
184,75,6,San Francisco,California,93.0
185,77,6,San Joaquin,California,79.0
186,79,6,San Luis Obispo,California,22.0
187,81,6,San Mateo,California,16.0
188,83,6,Santa Barbara,California,51.0
189,85,6,Santa Clara,California,276.0
190,87,6,Santa Cruz,California,24.0
191,89,6,Shasta,California,16.0
192,93,6,Siskiyou,California,0.0
193,95,6,Solano,California,16.0
194,97,6,Sonoma,California,12.0
195,99,6,Stanislaus,California,63.0
196,101,6,Sutter,California,0.0
197,103,6,Tehama,California,0.0
198,105,6,Trinity,California,0.0
199,107,6,Tulare,California,15.0
200,109,6,Tuolumne,California,0.0
201,111,6,Ventura,California,76.0
202,113,6,Yolo,California,0.0
203,115,6,Yuba,California,6.0
204,1,8,Adams,Colorado,148.0
205,3,8,Alamosa,Colorado,0.0
206,5,8,Arapahoe,Colorado,45.0
207,35,8,Douglas,Colorado,40.0
208,7,8,Archuleta,Colorado,0.0
209,13,8,Boulder,Colorado,44.0
210,15,8,Chaffee,Colorado,0.0
211,17,8,Cheyenne,Colorado,0.0
212,29,8,Delta,Colorado,0.0
213,31,8,Denver,Colorado,126.0
214,59,8,Jefferson,Colorado,20.0
215,37,8,Eagle,Colorado,0.0
216,41,8,El Paso,Colorado,130.0
217,43,8,Fremont,Colorado,0.0
218,45,8,Garfield,Colorado,2.0
219,51,8,Gunnison,Colorado,0.0
220,55,8,Huerfano,Colorado,0.0
221,63,8,Kit Carson,Colorado,0.0
222,65,8,Lake,Colorado,0.0
223,67,8,La Plata,Colorado,0.0
224,69,8,Larimer,Colorado,25.0
225,71,8,Las Animas,Colorado,0.0
226,75,8,Logan,Colorado,0.0
227,77,8,Mesa,Colorado,0.0
228,81,8,Moffat,Colorado,0.0
229,83,8,Montezuma,Colorado,0.0
230,85,8,Montrose,Colorado,0.0
231,87,8,Morgan,Colorado,0.0
232,89,8,Otero,Colorado,0.0
233,95,8,Phillips,Colorado,0.0
234,97,8,Pitkin,Colorado,0.0
235,99,8,Prowers,Colorado,0.0
236,101,8,Pueblo,Colorado,0.0
237,103,8,Rio Blanco,Colorado,0.0
238,105,8,Rio Grande,Colorado,0.0
239,107,8,Routt,Colorado,0.0
240,117,8,Summit,Colorado,0.0
241,119,8,Teller,Colorado,0.0
242,123,8,Weld,Colorado,0.0
243,125,8,Yuma,Colorado,0.0
244,1,9,Fairfield,Connecticut,26.0
245,3,9,Hartford,Connecticut,118.0
246,5,9,Litchfield,Connecticut,0.0
247,7,9,Middlesex,Connecticut,0.0
248,11,9,New London,Connecticut,13.0
249,13,9,Tolland,Connecticut,0.0
250,15,9,Windham,Connecticut,0.0
251,1,10,Kent,Delaware,15.0
252,5,10,Sussex,Delaware,0.0
253,5,12,Bay,Florida,32.0
254,7,12,Bradford,Florida,0.0
255,9,12,Brevard,Florida,0.0
256,11,12,Broward,Florida,191.0
257,15,12,Charlotte,Florida,7.0
258,17,12,Citrus,Florida,0.0
259,19,12,Clay,Florida,16.0
260,21,12,Collier,Florida,0.0
261,23,12,Columbia,Florida,0.0
262,27,12,DeSoto,Florida,0.0
263,31,12,Duval,Florida,86.0
264,33,12,Escambia,Florida,82.0
265,35,12,Flagler,Florida,0.0
266,39,12,Gadsden,Florida,0.0
267,49,12,Hardee,Florida,0.0
268,51,12,Hendry,Florida,0.0
269,53,12,Hernando,Florida,10.0
270,55,12,Highlands,Florida,0.0
271,57,12,Hillsborough,Florida,205.0
272,59,12,Holmes,Florida,0.0
273,61,12,Indian River,Florida,0.0
274,63,12,Jackson,Florida,0.0
275,119,12,Sumter,Florida,0.0
276,69,12,Lake,Florida,0.0
277,71,12,Lee,Florida,152.0
278,73,12,Leon,Florida,30.0
279,81,12,Manatee,Florida,6.0
280,83,12,Marion,Florida,0.0
281,85,12,Martin,Florida,0.0
282,86,12,Miami-Dade,Florida,258.0
283,87,12,Monroe,Florida,0.0
284,89,12,Nassau,Florida,0.0
285,91,12,Okaloosa,Florida,10.0
286,93,12,Okeechobee,Florida,0.0
287,95,12,Orange,Florida,277.0
288,97,12,Osceola,Florida,24.0
289,99,12,Palm Beach,Florida,136.0
290,101,12,Pasco,Florida,12.0
291,103,12,Pinellas,Florida,25.0
292,105,12,Polk,Florida,45.0
293,107,12,Putnam,Florida,0.0
294,109,12,St. Johns,Florida,7.0
295,111,12,St. Lucie,Florida,6.0
296,113,12,Santa Rosa,Florida,0.0
297,115,12,Sarasota,Florida,33.0
298,117,12,Seminole,Florida,0.0
299,121,12,Suwannee,Florida,0.0
300,123,12,Taylor,Florida,0.0
301,127,12,Volusia,Florida,16.0
302,131,12,Walton,Florida,0.0
303,133,12,Washington,Florida,0.0
304,1,13,Appling,Georgia,0.0
305,5,13,Bacon,Georgia,0.0
306,9,13,Baldwin,Georgia,0.0
307,13,13,Barrow,Georgia,0.0
308,15,13,Bartow,Georgia,0.0
309,17,13,Ben Hill,Georgia,0.0
310,19,13,Berrien,Georgia,0.0
311,21,13,Bibb,Georgia,77.0
312,23,13,Bleckley,Georgia,0.0
313,27,13,Brooks,Georgia,0.0
314,31,13,Bulloch,Georgia,0.0
315,33,13,Burke,Georgia,0.0
316,35,13,Butts,Georgia,0.0
317,39,13,Camden,Georgia,0.0
318,43,13,Candler,Georgia,0.0
319,45,13,Carroll,Georgia,0.0
320,47,13,Catoosa,Georgia,0.0
321,51,13,Chatham,Georgia,74.0
322,121,13,Fulton,Georgia,154.0
323,57,13,Cherokee,Georgia,0.0
324,59,13,Clarke,Georgia,20.0
325,63,13,Clayton,Georgia,0.0
326,65,13,Clinch,Georgia,0.0
327,67,13,Cobb,Georgia,49.0
328,69,13,Coffee,Georgia,0.0
329,71,13,Colquitt,Georgia,0.0
330,75,13,Cook,Georgia,0.0
331,77,13,Coweta,Georgia,10.0
332,81,13,Crisp,Georgia,0.0
333,87,13,Decatur,Georgia,0.0
334,89,13,DeKalb,Georgia,42.0
335,91,13,Dodge,Georgia,0.0
336,95,13,Dougherty,Georgia,27.0
337,97,13,Douglas,Georgia,0.0
338,99,13,Early,Georgia,0.0
339,103,13,Effingham,Georgia,0.0
340,105,13,Elbert,Georgia,0.0
341,107,13,Emanuel,Georgia,0.0
342,109,13,Evans,Georgia,0.0
343,111,13,Fannin,Georgia,0.0
344,113,13,Fayette,Georgia,20.0
345,115,13,Floyd,Georgia,0.0
346,117,13,Forsyth,Georgia,0.0
347,119,13,Franklin,Georgia,0.0
348,127,13,Glynn,Georgia,0.0
349,129,13,Gordon,Georgia,0.0
350,131,13,Grady,Georgia,0.0
351,135,13,Gwinnett,Georgia,42.0
352,137,13,Habersham,Georgia,0.0
353,139,13,Hall,Georgia,0.0
354,143,13,Haralson,Georgia,0.0
355,151,13,Henry,Georgia,16.0
356,153,13,Houston,Georgia,0.0
357,155,13,Irwin,Georgia,0.0
358,157,13,Jackson,Georgia,0.0
359,159,13,Jasper,Georgia,0.0
360,161,13,Jeff Davis,Georgia,0.0
361,163,13,Jefferson,Georgia,0.0
362,173,13,Lanier,Georgia,0.0
363,175,13,Laurens,Georgia,0.0
364,179,13,Liberty,Georgia,0.0
365,185,13,Lowndes,Georgia,0.0
366,189,13,McDuffie,Georgia,0.0
367,193,13,Macon,Georgia,0.0
368,199,13,Meriwether,Georgia,0.0
369,201,13,Miller,Georgia,0.0
370,205,13,Mitchell,Georgia,0.0
371,207,13,Monroe,Georgia,0.0
372,213,13,Murray,Georgia,0.0
373,215,13,Muscogee,Georgia,39.0
374,217,13,Newton,Georgia,6.0
375,223,13,Paulding,Georgia,0.0
376,225,13,Peach,Georgia,0.0
377,227,13,Pickens,Georgia,0.0
378,233,13,Polk,Georgia,0.0
379,235,13,Pulaski,Georgia,0.0
380,133,13,Greene,Georgia,0.0
381,243,13,Randolph,Georgia,0.0
382,245,13,Richmond,Georgia,74.0
383,247,13,Rockdale,Georgia,0.0
384,253,13,Seminole,Georgia,0.0
385,255,13,Spalding,Georgia,0.0
386,257,13,Stephens,Georgia,0.0
387,261,13,Sumter,Georgia,0.0
388,275,13,Thomas,Georgia,0.0
389,277,13,Tift,Georgia,0.0
390,279,13,Toombs,Georgia,0.0
391,281,13,Towns,Georgia,0.0
392,285,13,Troup,Georgia,0.0
393,291,13,Union,Georgia,0.0
394,293,13,Upson,Georgia,0.0
395,297,13,Walton,Georgia,0.0
396,299,13,Ware,Georgia,6.0
397,303,13,Washington,Georgia,0.0
398,305,13,Wayne,Georgia,0.0
399,313,13,Whitfield,Georgia,0.0
400,317,13,Wilkes,Georgia,0.0
401,321,13,Worth,Georgia,0.0
402,1,15,Hawaii,Hawaii,0.0
403,3,15,Honolulu,Hawaii,18.0
404,7,15,Kauai,Hawaii,0.0
405,9,15,Maui,Hawaii,0.0
406,5,16,Bannock,Idaho,16.0
407,13,16,Blaine,Idaho,0.0
408,17,16,Bonner,Idaho,0.0
409,19,16,Bonneville,Idaho,26.0
410,27,16,Canyon,Idaho,8.0
411,31,16,Cassia,Idaho,0.0
412,55,16,Kootenai,Idaho,14.0
413,57,16,Latah,Idaho,0.0
414,59,16,Lemhi,Idaho,0.0
415,65,16,Madison,Idaho,14.0
416,69,16,Nez Perce,Idaho,0.0
417,83,16,Twin Falls,Idaho,18.0
418,1,17,Adams,Illinois,0.0
419,5,17,Bond,Illinois,0.0
420,11,17,Bureau,Illinois,0.0
421,19,17,Champaign,Illinois,25.0
422,21,17,Christian,Illinois,0.0
423,25,17,Clay,Illinois,0.0
424,27,17,Clinton,Illinois,0.0
425,29,17,Coles,Illinois,0.0
426,31,17,Cook,Illinois,531.0
427,33,17,Crawford,Illinois,0.0
428,37,17,DeKalb,Illinois,0.0
429,39,17,De Witt,Illinois,0.0
430,43,17,DuPage,Illinois,45.0
431,49,17,Effingham,Illinois,0.0
432,53,17,Ford,Illinois,0.0
433,57,17,Fulton,Illinois,0.0
434,61,17,Greene,Illinois,0.0
435,63,17,Grundy,Illinois,0.0
436,65,17,Hamilton,Illinois,0.0
437,69,17,Hardin,Illinois,0.0
438,73,17,Henry,Illinois,0.0
439,75,17,Iroquois,Illinois,0.0
440,77,17,Jackson,Illinois,13.0
441,81,17,Jefferson,Illinois,0.0
442,83,17,Jersey,Illinois,0.0
443,85,17,Jo Daviess,Illinois,0.0
444,89,17,Kane,Illinois,13.0
445,91,17,Kankakee,Illinois,0.0
446,95,17,Knox,Illinois,0.0
447,97,17,Lake,Illinois,0.0
448,99,17,LaSalle,Illinois,0.0
449,101,17,Lawrence,Illinois,0.0
450,103,17,Lee,Illinois,0.0
451,105,17,Livingston,Illinois,0.0
452,107,17,Logan,Illinois,0.0
453,109,17,McDonough,Illinois,0.0
454,111,17,McHenry,Illinois,0.0
455,113,17,McLean,Illinois,0.0
456,115,17,Macon,Illinois,0.0
457,117,17,Macoupin,Illinois,0.0
458,119,17,Madison,Illinois,0.0
459,121,17,Marion,Illinois,0.0
460,125,17,Mason,Illinois,0.0
461,135,17,Montgomery,Illinois,0.0
462,137,17,Morgan,Illinois,0.0
463,141,17,Ogle,Illinois,0.0
464,143,17,Peoria,Illinois,28.0
465,145,17,Perry,Illinois,0.0
466,147,17,Piatt,Illinois,0.0
467,149,17,Pike,Illinois,0.0
468,157,17,Randolph,Illinois,0.0
469,159,17,Richland,Illinois,0.0
470,161,17,Rock Island,Illinois,9.0
471,163,17,St. Clair,Illinois,0.0
472,165,17,Saline,Illinois,0.0
473,167,17,Sangamon,Illinois,43.0
474,169,17,Schuyler,Illinois,0.0
475,173,17,Shelby,Illinois,0.0
476,177,17,Stephenson,Illinois,0.0
477,179,17,Tazewell,Illinois,0.0
478,181,17,Union,Illinois,0.0
479,183,17,Vermilion,Illinois,0.0
480,45,17,Edgar,Illinois,0.0
481,185,17,Wabash,Illinois,0.0
482,187,17,Warren,Illinois,0.0
483,191,17,Wayne,Illinois,0.0
484,195,17,Whiteside,Illinois,0.0
